fill	x	y	xmin	xmax	ymin	ymax
#F5F3F9	4530	24	4505	4555	-1	49
#FCFCFE	4580	24	4555	4605	-1	49
#FDFDFE	4580	74	4555	4605	49	99
#F4E7E5	4630	74	4605	4655	49	99
#FBF6F5	4630	124	4605	4655	99	149
#FFFFFF	4680	124	4655	4705	99	149
#F2E2E0	4680	174	4655	4705	149	199
#F2F0F8	4730	174	4705	4755	149	199
#FEFDFD	4730	224	4705	4755	199	249
#F3F1F8	4780	224	4755	4805	199	249
#F0DDDA	4780	274	4755	4805	249	299
#FBFAFD	4830	274	4805	4855	249	299
#FFFFFF	4830	324	4805	4855	299	349
#FEFDFD	4880	324	4855	4905	299	349
#E1BFBA	4880	374	4855	4905	349	399
#DCD7EC	4930	374	4905	4955	349	399
#DAB2AD	4930	424	4905	4955	399	449
#D7D2E9	4980	424	4955	5005	399	449
#6259AA	4980	474	4955	5005	449	499
#C0B8DD	5030	474	5005	5055	449	499
#E7E3F2	5030	524	5005	5055	499	549
#877CBE	5080	524	5055	5105	499	549
#A399CD	5080	574	5055	5105	549	599
#776DB5	5130	574	5105	5155	549	599
#F6EBEA	4630	24	4605	4655	-1	49
#FEFDFD	4680	74	4655	4705	49	99
#F4F3F9	4730	124	4705	4755	99	149
#C8C1E1	4780	174	4755	4805	149	199
#E7E3F2	4830	224	4805	4855	199	249
#F0EEF7	4880	274	4855	4905	249	299
#EAE7F4	4930	324	4905	4955	299	349
#E9E6F3	4980	374	4955	5005	349	399
#534DA3	5030	424	5005	5055	399	449
#B3AAD5	5080	474	5055	5105	449	499
#3A3A98	5130	524	5105	5155	499	549
#ECD4D1	4680	24	4655	4705	-1	49
#F1EFF8	4780	124	4755	4805	99	149
#FEFDFE	4880	224	4855	4905	199	249
#D8D2EA	4980	324	4955	5005	299	349
#BDB6DB	5080	424	5055	5105	399	449
#ECE9F5	4730	74	4705	4755	49	99
#F7F6FB	4830	174	4805	4855	149	199
#F0DDDA	4930	274	4905	4955	249	299
#E1DCEE	5030	374	5005	5055	349	399
#B1A8D4	5130	474	5105	5155	449	499
#5C55A8	5180	524	5155	5205	499	549
#FBF5F4	4730	24	4705	4755	-1	49
#EFDBD8	4780	74	4755	4805	49	99
#D5CFE8	4830	124	4805	4855	99	149
#F8F6FB	4880	174	4855	4905	149	199
#DFBBB7	4930	224	4905	4955	199	249
#FFFFFF	4980	274	4955	5005	249	299
#F1EFF7	5030	324	5005	5055	299	349
#867BBD	5080	374	5055	5105	349	399
#FDFBFB	5130	424	5105	5155	399	449
#9C92C9	5180	474	5155	5205	449	499
#D5A8A3	4780	24	4755	4805	-1	49
#F2F1F8	4880	124	4855	4905	99	149
#E9CFCC	4980	224	4955	5005	199	249
#F1EFF7	5080	324	5055	5105	299	349
#C8C1E1	5180	424	5155	5205	399	449
#F7F6FB	4830	74	4805	4855	49	99
#F8EFEE	4930	174	4905	4955	149	199
