x	y	clickSelects	xmin	xmax	ymin	ymax
4530	24	4550,0	4505	4555	-1	49
4580	24	4600,0	4555	4605	-1	49
4580	74	4600,50	4555	4605	49	99
4630	74	4650,50	4605	4655	49	99
4630	124	4650,100	4605	4655	99	149
4680	124	4700,100	4655	4705	99	149
4680	174	4700,150	4655	4705	149	199
4730	174	4750,150	4705	4755	149	199
4730	224	4750,200	4705	4755	199	249
4780	224	4800,200	4755	4805	199	249
4780	274	4800,250	4755	4805	249	299
4830	274	4850,250	4805	4855	249	299
4830	324	4850,300	4805	4855	299	349
4880	324	4900,300	4855	4905	299	349
4880	374	4900,350	4855	4905	349	399
4930	374	4950,350	4905	4955	349	399
4930	424	4950,400	4905	4955	399	449
4980	424	5000,400	4955	5005	399	449
4980	474	5000,450	4955	5005	449	499
5030	474	5050,450	5005	5055	449	499
5030	524	5050,500	5005	5055	499	549
5080	524	5100,500	5055	5105	499	549
5080	574	5100,550	5055	5105	549	599
5130	574	5150,550	5105	5155	549	599
4630	24	4650,0	4605	4655	-1	49
4680	74	4700,50	4655	4705	49	99
4730	124	4750,100	4705	4755	99	149
4780	174	4800,150	4755	4805	149	199
4830	224	4850,200	4805	4855	199	249
4880	274	4900,250	4855	4905	249	299
4930	324	4950,300	4905	4955	299	349
4980	374	5000,350	4955	5005	349	399
5030	424	5050,400	5005	5055	399	449
5080	474	5100,450	5055	5105	449	499
5130	524	5150,500	5105	5155	499	549
4680	24	4700,0	4655	4705	-1	49
4780	124	4800,100	4755	4805	99	149
4880	224	4900,200	4855	4905	199	249
4980	324	5000,300	4955	5005	299	349
5080	424	5100,400	5055	5105	399	449
4730	74	4750,50	4705	4755	49	99
4830	174	4850,150	4805	4855	149	199
4930	274	4950,250	4905	4955	249	299
5030	374	5050,350	5005	5055	349	399
5130	474	5150,450	5105	5155	449	499
5180	524	5200,500	5155	5205	499	549
4730	24	4750,0	4705	4755	-1	49
4780	74	4800,50	4755	4805	49	99
4830	124	4850,100	4805	4855	99	149
4880	174	4900,150	4855	4905	149	199
4930	224	4950,200	4905	4955	199	249
4980	274	5000,250	4955	5005	249	299
5030	324	5050,300	5005	5055	299	349
5080	374	5100,350	5055	5105	349	399
5130	424	5150,400	5105	5155	399	449
5180	474	5200,450	5155	5205	449	499
4780	24	4800,0	4755	4805	-1	49
4880	124	4900,100	4855	4905	99	149
4980	224	5000,200	4955	5005	199	249
5080	324	5100,300	5055	5105	299	349
5180	424	5200,400	5155	5205	399	449
4830	74	4850,50	4805	4855	49	99
4930	174	4950,150	4905	4955	149	199
5030	274	5050,250	5005	5055	249	299
5130	374	5150,350	5105	5155	349	399
5230	474	5250,450	5205	5255	449	499
4830	24	4850,0	4805	4855	-1	49
4880	74	4900,50	4855	4905	49	99
4930	124	4950,100	4905	4955	99	149
4980	174	5000,150	4955	5005	149	199
5030	224	5050,200	5005	5055	199	249
5080	274	5100,250	5055	5105	249	299
5130	324	5150,300	5105	5155	299	349
5180	374	5200,350	5155	5205	349	399
5230	424	5250,400	5205	5255	399	449
4880	24	4900,0	4855	4905	-1	49
4980	124	5000,100	4955	5005	99	149
5080	224	5100,200	5055	5105	199	249
5180	324	5200,300	5155	5205	299	349
5280	424	5300,400	5255	5305	399	449
4930	74	4950,50	4905	4955	49	99
5030	174	5050,150	5005	5055	149	199
5130	274	5150,250	5105	5155	249	299
5230	374	5250,350	5205	5255	349	399
4930	24	4950,0	4905	4955	-1	49
4980	74	5000,50	4955	5005	49	99
5030	124	5050,100	5005	5055	99	149
5080	174	5100,150	5055	5105	149	199
5130	224	5150,200	5105	5155	199	249
5180	274	5200,250	5155	5205	249	299
5230	324	5250,300	5205	5255	299	349
5280	374	5300,350	5255	5305	349	399
4980	24	5000,0	4955	5005	-1	49
5080	124	5100,100	5055	5105	99	149
5180	224	5200,200	5155	5205	199	249
5280	324	5300,300	5255	5305	299	349
5030	74	5050,50	5005	5055	49	99
5130	174	5150,150	5105	5155	149	199
5230	274	5250,250	5205	5255	249	299
5330	374	5350,350	5305	5355	349	399
5030	24	5050,0	5005	5055	-1	49
5080	74	5100,50	5055	5105	49	99
5130	124	5150,100	5105	5155	99	149
5180	174	5200,150	5155	5205	149	199
5230	224	5250,200	5205	5255	199	249
5280	274	5300,250	5255	5305	249	299
5330	324	5350,300	5305	5355	299	349
5080	24	5100,0	5055	5105	-1	49
5280	224	5300,200	5255	5305	199	249
5380	324	5400,300	5355	5405	299	349
5130	74	5150,50	5105	5155	49	99
5180	124	5200,100	5155	5205	99	149
5230	174	5250,150	5205	5255	149	199
5330	274	5350,250	5305	5355	249	299
5130	24	5150,0	5105	5155	-1	49
5180	74	5200,50	5155	5205	49	99
5230	124	5250,100	5205	5255	99	149
5280	174	5300,150	5255	5305	149	199
5330	224	5350,200	5305	5355	199	249
5380	274	5400,250	5355	5405	249	299
5180	24	5200,0	5155	5205	-1	49
5280	124	5300,100	5255	5305	99	149
5380	224	5400,200	5355	5405	199	249
5230	74	5250,50	5205	5255	49	99
5330	174	5350,150	5305	5355	149	199
5430	274	5450,250	5405	5455	249	299
5230	24	5250,0	5205	5255	-1	49
5280	74	5300,50	5255	5305	49	99
5330	124	5350,100	5305	5355	99	149
5380	174	5400,150	5355	5405	149	199
5430	224	5450,200	5405	5455	199	249
5280	24	5300,0	5255	5305	-1	49
5380	124	5400,100	5355	5405	99	149
5480	224	5500,200	5455	5505	199	249
5330	74	5350,50	5305	5355	49	99
5430	174	5450,150	5405	5455	149	199
5330	24	5350,0	5305	5355	-1	49
5380	74	5400,50	5355	5405	49	99
5430	124	5450,100	5405	5455	99	149
5480	174	5500,150	5455	5505	149	199
5380	24	5400,0	5355	5405	-1	49
5480	124	5500,100	5455	5505	99	149
5430	74	5450,50	5405	5455	49	99
5530	174	5550,150	5505	5555	149	199
5430	24	5450,0	5405	5455	-1	49
5480	74	5500,50	5455	5505	49	99
5530	124	5550,100	5505	5555	99	149
5480	24	5500,0	5455	5505	-1	49
5580	124	5600,100	5555	5605	99	149
5530	74	5550,50	5505	5555	49	99
5530	24	5550,0	5505	5555	-1	49
5580	74	5600,50	5555	5605	49	99
5580	24	5600,0	5555	5605	-1	49
5630	74	5650,50	5605	5655	49	99
5630	24	5650,0	5605	5655	-1	49
5680	24	5700,0	5655	5705	-1	49
