group	x	y	clickSelects	showSelected1
2277	-28.25	-0.25	1408	4550,0
2277	-28.25	0.25	1408	4550,0
2277	-9.25	19.25	1408	4550,0
2277	-8.25	19.25	1408	4550,0
2277	-5.75	21.75	1408	4550,0
2277	-5.25	21.75	1408	4550,0
2277	-4.25	20.75	1408	4550,0
2277	-4.25	20.25	1408	4550,0
2277	-6.25	20.25	1408	4550,0
2277	-6.25	18.75	1408	4550,0
2277	-5.25	18.75	1408	4550,0
2277	-3.25	16.75	1408	4550,0
2277	-3.25	16.25	1408	4550,0
2277	-3.75	15.75	1408	4550,0
2277	-3.75	15.25	1408	4550,0
2277	-2.75	15.25	1408	4550,0
2277	-2.75	14.75	1408	4550,0
2277	-3.25	14.25	1408	4550,0
2277	-3.25	13.75	1408	4550,0
2277	-1.25	13.75	1408	4550,0
2277	-0.75	13.25	1408	4550,0
2277	-0.75	12.75	1408	4550,0
2277	-1.75	12.75	1408	4550,0
2277	-1.75	11.75	1408	4550,0
2277	-3.25	10.25	1408	4550,0
2277	-4.75	10.25	1408	4550,0
2277	-5.25	10.75	1408	4550,0
2277	-6.25	10.75	1408	4550,0
2277	-6.75	11.25	1408	4550,0
2277	-7.25	11.25	1408	4550,0
2277	-7.75	10.75	1408	4550,0
2277	-8.25	10.75	1408	4550,0
2277	-8.25	13.25	1408	4550,0
2277	-7.75	13.75	1408	4550,0
2277	-7.75	14.75	1408	4550,0
2277	-6.75	14.75	1408	4550,0
2277	-5.25	16.25	1408	4550,0
2277	-5.25	16.75	1408	4550,0
2277	-5.75	17.25	1408	4550,0
2277	-6.75	17.25	1408	4550,0
2277	-7.25	17.75	1408	4550,0
2277	-7.75	17.75	1408	4550,0
2277	-9.75	15.75	1408	4550,0
2277	-10.75	15.75	1408	4550,0
2277	-11.25	15.25	1408	4550,0
2277	-11.25	14.75	1408	4550,0
2277	-9.25	12.75	1408	4550,0
2277	-9.25	12.25	1408	4550,0
2277	-10.75	12.25	1408	4550,0
2277	-12.25	13.75	1408	4550,0
2277	-12.75	13.75	1408	4550,0
2277	-13.75	12.75	1408	4550,0
2277	-13.75	11.25	1408	4550,0
2277	-12.75	11.25	1408	4550,0
2277	-12.75	10.25	1408	4550,0
2277	-11.75	10.25	1408	4550,0
2277	-11.25	9.75	1408	4550,0
2277	-11.25	8.75	1408	4550,0
2277	-10.75	8.75	1408	4550,0
2277	-9.75	9.75	1408	4550,0
2277	-9.25	9.75	1408	4550,0
2277	-8.75	9.25	1408	4550,0
2277	-7.75	9.25	1408	4550,0
2277	-7.75	8.75	1408	4550,0
2277	-8.25	8.25	1408	4550,0
2277	-8.25	7.75	1408	4550,0
2277	-6.25	7.75	1408	4550,0
2277	-6.25	7.25	1408	4550,0
2277	-6.75	6.75	1408	4550,0
2277	-7.75	6.75	1408	4550,0
2277	-7.75	5.75	1408	4550,0
2277	-8.75	5.75	1408	4550,0
2277	-9.25	5.25	1408	4550,0
2277	-10.25	5.25	1408	4550,0
2277	-10.75	4.75	1408	4550,0
2277	-11.25	4.75	1408	4550,0
2277	-11.75	5.25	1408	4550,0
2277	-11.75	6.25	1408	4550,0
2277	-12.75	6.25	1408	4550,0
2277	-12.75	7.75	1408	4550,0
2277	-12.25	8.25	1408	4550,0
2277	-12.25	8.75	1408	4550,0
2277	-12.75	9.25	1408	4550,0
2277	-14.25	9.25	1408	4550,0
2277	-14.25	8.25	1408	4550,0
2277	-14.75	7.75	1408	4550,0
2277	-15.25	7.75	1408	4550,0
2277	-16.25	8.75	1408	4550,0
2277	-16.75	8.75	1408	4550,0
2277	-16.75	7.25	1408	4550,0
2277	-16.25	6.75	1408	4550,0
2277	-16.25	6.25	1408	4550,0
2277	-16.75	5.75	1408	4550,0
2277	-17.25	5.75	1408	4550,0
2277	-17.75	6.25	1408	4550,0
2277	-19.25	6.25	1408	4550,0
2277	-19.25	5.25	1408	4550,0
2277	-20.75	3.75	1408	4550,0
2277	-21.75	3.75	1408	4550,0
2277	-21.75	2.75	1408	4550,0
2277	-24.75	-0.25	1408	4550,0
2277	-28.25	-0.25	1408	4550,0
1009	-8.75	19.25	119	4550,0
1009	-8.75	19.75	119	4550,0
1009	4.25	32.75	119	4550,0
1009	4.75	32.75	119	4550,0
1009	4.75	0.25	119	4550,0
1009	4.25	-0.25	119	4550,0
1009	-24.25	-0.25	119	4550,0
1009	-24.25	0.25	119	4550,0
1009	-21.75	2.75	119	4550,0
1009	-21.75	3.75	119	4550,0
1009	-20.75	3.75	119	4550,0
1009	-19.25	5.25	119	4550,0
1009	-19.25	6.25	119	4550,0
1009	-17.75	6.25	119	4550,0
1009	-17.25	5.75	119	4550,0
1009	-16.75	5.75	119	4550,0
1009	-16.25	6.25	119	4550,0
1009	-16.25	6.75	119	4550,0
1009	-16.75	7.25	119	4550,0
1009	-16.75	8.75	119	4550,0
1009	-16.25	8.75	119	4550,0
1009	-15.25	7.75	119	4550,0
1009	-14.75	7.75	119	4550,0
1009	-14.25	8.25	119	4550,0
1009	-14.25	9.25	119	4550,0
1009	-12.75	9.25	119	4550,0
1009	-12.25	8.75	119	4550,0
1009	-12.25	8.25	119	4550,0
1009	-12.75	7.75	119	4550,0
1009	-12.75	6.25	119	4550,0
1009	-11.75	6.25	119	4550,0
1009	-11.75	5.25	119	4550,0
1009	-11.25	4.75	119	4550,0
1009	-10.75	4.75	119	4550,0
1009	-10.25	5.25	119	4550,0
1009	-9.25	5.25	119	4550,0
1009	-8.75	5.75	119	4550,0
1009	-7.75	5.75	119	4550,0
1009	-7.75	6.75	119	4550,0
1009	-6.75	6.75	119	4550,0
1009	-6.25	7.25	119	4550,0
1009	-6.25	7.75	119	4550,0
1009	-8.25	7.75	119	4550,0
1009	-8.25	8.25	119	4550,0
1009	-7.75	8.75	119	4550,0
1009	-7.75	9.25	119	4550,0
1009	-8.75	9.25	119	4550,0
1009	-9.25	9.75	119	4550,0
1009	-9.75	9.75	119	4550,0
1009	-10.75	8.75	119	4550,0
1009	-11.25	8.75	119	4550,0
1009	-11.25	9.75	119	4550,0
1009	-11.75	10.25	119	4550,0
1009	-12.75	10.25	119	4550,0
1009	-12.75	11.25	119	4550,0
1009	-13.75	11.25	119	4550,0
1009	-13.75	12.75	119	4550,0
1009	-12.75	13.75	119	4550,0
1009	-12.25	13.75	119	4550,0
1009	-10.75	12.25	119	4550,0
1009	-9.25	12.25	119	4550,0
1009	-9.25	12.75	119	4550,0
1009	-11.25	14.75	119	4550,0
1009	-11.25	15.25	119	4550,0
