group	label	showSelected1
1	Cluster 7: 311/2197 pixels shown, logFC -4.9 to 4.4, log10(p) 0.0 to 3.1	7
1	Cluster 38: 2/344 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 1.7	38
1	Cluster 56: 538/3225 pixels shown, logFC -4.4 to 4.2, log10(p) 0.0 to 2.9	56
1	Cluster 60: 618/3475 pixels shown, logFC -4.2 to 4.2, log10(p) 0.0 to 2.4	60
1	Cluster 74: 1916/2875 pixels shown, logFC -4.6 to 4.4, log10(p) 0.0 to 2.6	74
1	Cluster 96: 40/44 pixels shown, logFC -2.6 to 2.8, log10(p) 0.0 to 0.8	96
1	Cluster 136: 17/463 pixels shown, logFC -3.1 to 3.9, log10(p) 0.0 to 1.7	136
1	Cluster 155: 12/90 pixels shown, logFC -3.8 to 2.0, log10(p) 0.0 to 1.6	155
1	Cluster 163: 157/409 pixels shown, logFC -3.8 to 3.6, log10(p) 0.0 to 1.9	163
1	Cluster 232: 207/256 pixels shown, logFC -3.1 to 4.6, log10(p) 0.0 to 2.9	232
1	Cluster 245: 3/1231 pixels shown, logFC -3.1 to 4.5, log10(p) 0.0 to 2.6	245
1	Cluster 257: 4/83 pixels shown, logFC -3.1 to 3.3, log10(p) 0.0 to 1.1	257
1	Cluster 276: 5/99 pixels shown, logFC -3.5 to 2.7, log10(p) 0.0 to 1.3	276
1	Cluster 340: 18/24 pixels shown, logFC -0.4 to 4.2, log10(p) 0.0 to 2.0	340
1	Cluster 408: 12/35 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 1.4	408
1	Cluster 435: 5/136 pixels shown, logFC -3.1 to 4.2, log10(p) 0.0 to 2.0	435
1	Cluster 536: 72/72 pixels shown, logFC -4.9 to 0.6, log10(p) 0.0 to 3.0	536
1	Cluster 566: 57/103 pixels shown, logFC -3.5 to 2.7, log10(p) 0.0 to 1.3	566
1	Cluster 577: 18/19 pixels shown, logFC -3.5 to 2.0, log10(p) 0.4 to 1.3	577
1	Cluster 616: 38/38 pixels shown, logFC -1.5 to 3.9, log10(p) 0.0 to 1.7	616
1	Cluster 677: 29/29 pixels shown, logFC -3.5 to 2.7, log10(p) 0.0 to 1.6	677
1	Cluster 952: 8/8 pixels shown, logFC -3.1 to 0.1, log10(p) 0.0 to 1.0	952
1	Cluster 1021: 39/39 pixels shown, logFC -3.8 to 1.8, log10(p) 0.0 to 1.5	1021
1	Cluster 1095: 16/16 pixels shown, logFC -3.1 to 1.0, log10(p) 0.2 to 1.2	1095
1	Cluster 1211: 7/12 pixels shown, logFC 0.9 to 3.9, log10(p) 0.2 to 1.7	1211
1	Cluster 1339: 30/44 pixels shown, logFC -4.2 to 0.1, log10(p) 0.0 to 2.0	1339
1	Cluster 1356: 28/28 pixels shown, logFC -2.6 to 0.1, log10(p) 0.0 to 1.2	1356
1	Cluster 1394: 9/12 pixels shown, logFC 1.1 to 3.9, log10(p) 0.5 to 1.7	1394
1	Cluster 1399: 41/41 pixels shown, logFC -3.5 to 0.9, log10(p) 0.0 to 1.4	1399
1	Cluster 1468: 48/48 pixels shown, logFC -4.2 to 0.7, log10(p) 0.0 to 2.0	1468
1	Cluster 1536: 30/37 pixels shown, logFC -3.5 to 0.1, log10(p) 0.0 to 1.3	1536
1	Cluster 1619: 6/6 pixels shown, logFC -3.5 to -1.2, log10(p) 0.4 to 1.3	1619
1	Cluster 1625: 17/40 pixels shown, logFC 0.1 to 3.3, log10(p) 0.0 to 2.1	1625
1	Cluster 1704: 4/4 pixels shown, logFC -3.5 to -2.6, log10(p) 0.7 to 1.3	1704
1	Cluster 1745: 9/9 pixels shown, logFC -3.1 to -0.4, log10(p) 0.1 to 1.0	1745
1	Cluster 1948: 9/9 pixels shown, logFC -3.5 to -1.8, log10(p) 0.4 to 1.3	1948
1	Cluster 1986: 18/18 pixels shown, logFC 0.9 to 3.2, log10(p) 0.2 to 1.2	1986
1	Cluster 2080: 11/11 pixels shown, logFC -3.8 to -0.2, log10(p) 0.1 to 1.5	2080
1	Cluster 2118: 3/3 pixels shown, logFC 2.7 to 3.6, log10(p) 0.8 to 1.4	2118
1	Cluster 2233: 28/28 pixels shown, logFC 0.1 to 3.3, log10(p) 0.0 to 1.1	2233
1	Cluster 2355: 10/10 pixels shown, logFC 0.9 to 3.2, log10(p) 0.2 to 1.1	2355
1	Cluster 2360: 7/25 pixels shown, logFC 0.1 to 3.9, log10(p) 0.0 to 1.7	2360
1	Cluster 2370: 7/7 pixels shown, logFC 0.9 to 3.6, log10(p) 0.2 to 1.4	2370
1	Cluster 2396: 4/4 pixels shown, logFC 1.8 to 3.6, log10(p) 0.5 to 1.4	2396
