fill	x	y	xmin	xmax	ymin	ymax
#7F7F7F	2.75	1.5	2.625	2.875	1.375	1.625
#BBBBBB	3.75	3.25	3.625	3.875	3.125	3.375
#727272	3.25	2	3.125	3.375	1.875	2.125
#DDDDDD	4	3.5	3.875	4.125	3.375	3.625
#707070	3	1	2.875	3.125	0.875	1.125
#9B9B9B	3.25	2.25	3.125	3.375	2.125	2.375
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#5C5C5C	2.75	1	2.625	2.875	0.875	1.125
#373737	2.25	1	2.125	2.375	0.875	1.125
#B1B1B1	4	3.25	3.875	4.125	3.125	3.375
#B1B1B1	3.75	2.75	3.625	3.875	2.625	2.875
#919191	3	1.5	2.875	3.125	1.375	1.625
#0F0F0F	1.5	0	1.375	1.625	-0.125	0.125
#474747	2.5	1	2.375	2.625	0.875	1.125
#A1A1A1	3.75	2.5	3.625	3.875	2.375	2.625
#DDDDDD	3.75	3	3.625	3.875	2.875	3.125
#A1A1A1	3.5	2.5	3.375	3.625	2.375	2.625
#858585	2.5	2	2.375	2.625	1.875	2.125
#828282	2.5	1.5	2.375	2.625	1.375	1.625
#3F3F3F	2.25	0	2.125	2.375	-0.125	0.125
#A8A8A8	3.5	2.25	3.375	3.625	2.125	2.375
#C9C9C9	1.75	2	1.625	1.875	1.875	2.125
#FFFFFF	3.25	2.75	3.125	3.375	2.625	2.875
#2B2B2B	2	0	1.875	2.125	-0.125	0.125
#828282	2.75	0	2.625	2.875	-0.125	0.125
#1B1B1B	1.75	0	1.625	1.875	-0.125	0.125
#FFFFFF	4.25	4.5	4.125	4.375	4.375	4.625
#FFFFFF	4	4	3.875	4.125	3.875	4.125
#FFFFFF	4.25	3.25	4.125	4.375	3.125	3.375
#919191	3.5	2	3.375	3.625	1.875	2.125
#DDDDDD	3.5	2.75	3.375	3.625	2.625	2.875
#575757	2.5	0	2.375	2.625	-0.125	0.125
#FFFFFF	3.5	3	3.375	3.625	2.875	3.125
#A1A1A1	3.25	1.5	3.125	3.375	1.375	1.625
#7C7C7C	3	2	2.875	3.125	1.875	2.125
#FFFFFF	4.5	4.5	4.375	4.625	4.375	4.625
#414141	2	1	1.875	2.125	0.875	1.125
#B1B1B1	3.25	1	3.125	3.375	0.875	1.125
#3D3D3D	1.75	1	1.625	1.875	0.875	1.125
#FFFFFF	2.5	2.25	2.375	2.625	2.125	2.375
#858585	2.75	2	2.625	2.875	1.875	2.125
#DDDDDD	3.75	2	3.625	3.875	1.875	2.125
#898989	2.25	1.5	2.125	2.375	1.375	1.625
#FFFFFF	3.5	3.75	3.375	3.625	3.625	3.875
#9B9B9B	1.75	1.5	1.625	1.875	1.375	1.625
#121212	0.75	0	0.625	0.875	-0.125	0.125
#0A0A0A	1.25	0	1.125	1.375	-0.125	0.125
#DDDDDD	3.25	2.5	3.125	3.375	2.375	2.625
#DDDDDD	3	2.75	2.875	3.125	2.625	2.875
#FFFFFF	3	3.25	2.875	3.125	3.125	3.375
#FFFFFF	4.25	4	4.125	4.375	3.875	4.125
#DDDDDD	1.5	2	1.375	1.625	1.875	2.125
#363636	1.5	1	1.375	1.625	0.875	1.125
#414141	1.25	1	1.125	1.375	0.875	1.125
#C9C9C9	3	0	2.875	3.125	-0.125	0.125
#B1B1B1	2.25	2	2.125	2.375	1.875	2.125
#000000	1	0	0.875	1.125	-0.125	0.125
#A8A8A8	2	1.5	1.875	2.125	1.375	1.625
#FFFFFF	3	2.25	2.875	3.125	2.125	2.375
#707070	0.75	1	0.625	0.875	0.875	1.125
#4D4D4D	1	1	0.875	1.125	0.875	1.125
#585858	0.25	0	0.125	0.375	-0.125	0.125
#FFFFFF	2	2.25	1.875	2.125	2.125	2.375
#FFFFFF	2.25	3	2.125	2.375	2.875	3.125
#232323	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	1.25	2	1.125	1.375	1.875	2.125
#BBBBBB	1.5	1.5	1.375	1.625	1.375	1.625
#A1A1A1	0	0	-0.125	0.125	-0.125	0.125
#BBBBBB	0.5	1	0.375	0.625	0.875	1.125
#DDDDDD	1.25	1.5	1.125	1.375	1.375	1.625
#FFFFFF	2	2	1.875	2.125	1.875	2.125
